NOMBDEPTO,NOMBLOC,POBLACION,CANT_FARMACIAS
SAN JOSE,CERAMICAS DEL SUR,93.0,0
SAN JOSE,RADIAL,250.0,0
SAN JOSE,COLOLO TINOSA,149.0,0
SAN JOSE,MANGRULLO,81.0,0
SAN JOSE,CARRETA QUEMADA,99.0,0
SAN JOSE,COSTAS DE PEREIRA,134.0,0
SAN JOSE,COLONIA DELTA,41.0,0
SORIANO,MERCEDES,41974.0,8
SORIANO,DOLORES,17174.0,4
SORIANO,CARDONA,4600.0,3
SORIANO,JOSE ENRIQUE RODO,2120.0,2
SORIANO,PALMITAS,2123.0,1
SORIANO,VILLA SORIANO,1124.0,0
SORIANO,PALMAR,381.0,0
SORIANO,EGAÑA,783.0,0
SORIANO,SANTA CATALINA,998.0,0
SORIANO,AGRACIADA,394.0,1
SORIANO,CASTILLOS,151.0,0
SORIANO,RISSO,557.0,1
SORIANO,SACACHISPAS,456.0,0
SORIANO,CAÑADA NIETO,430.0,0
SORIANO,RURAL,6612.0,17
SORIANO,CUCHILLA DEL PERDIDO,36.0,0
SORIANO,EL TALA,73.0,0
SORIANO,LA CONCORDIA,74.0,0
SORIANO,LA LOMA,118.0,0
SORIANO,PALO SOLO,170.0,0
SORIANO,CHACRAS DE DOLORES,1961.0,4
SORIANO,COLONIA CONCORDIA,43.0,0
SORIANO,PERSEVERANO,131.0,0
SORIANO,LARES,111.0,0
TACUAREMBO,TACUAREMBO,54755.0,15
TACUAREMBO,PASO DE LOS TOROS,12985.0,3
TACUAREMBO,SAN GREGORIO DE POLANCO,3415.0,2
TACUAREMBO,TAMBORES,450.0,0
TACUAREMBO,ACHAR,687.0,0
TACUAREMBO,ANSINA,2712.0,1
TACUAREMBO,CURTINA,1037.0,0
TACUAREMBO,PASO DEL CERRO,235.0,0
TACUAREMBO,CLARA,160.0,0
TACUAREMBO,CUCHILLA DEL OMBU,87.0,0
TACUAREMBO,LA HILERA,107.0,0
TACUAREMBO,LAS TOSCAS,1142.0,2
TACUAREMBO,PASO BONILLA,510.0,0
TACUAREMBO,PUEBLO DE ARRIBA,170.0,0
